fecha_divorcio,sexo_1,sexo_2,fecha_matrimonio,tiempo_transcurrido,anios_matrimonio,anio_divorcio,anio_matrimonio,mes_divorcio,tipo_pareja
2018-01-05,Masculino,Femenino,2014-12-18,1114 days,3.0,2018,2014.0,1,dif sexo
2018-01-05,Masculino,Femenino,2009-10-20,2999 days,8.2,2018,2009.0,1,dif sexo
2018-01-05,Masculino,Femenino,1998-11-26,6980 days,19.1,2018,1998.0,1,dif sexo
2018-01-05,Masculino,Femenino,1989-02-23,10543 days,28.9,2018,1989.0,1,dif sexo
2018-01-05,Masculino,Femenino,1989-07-14,10402 days,28.5,2018,1989.0,1,dif sexo
2018-01-05,Masculino,Femenino,2004-08-13,4893 days,13.4,2018,2004.0,1,dif sexo
2018-01-05,Masculino,Femenino,2011-08-05,2345 days,6.4,2018,2011.0,1,dif sexo
2018-01-05,Masculino,Femenino,2008-09-26,3388 days,9.3,2018,2008.0,1,dif sexo
2018-01-05,Masculino,Femenino,1997-01-03,7672 days,21.0,2018,1997.0,1,dif sexo
2018-01-05,Masculino,Masculino,2017-08-18,140 days,0.4,2018,2017.0,1,mismo sexo
2018-01-08,Masculino,Femenino,1968-11-04,17962 days,49.2,2018,1968.0,1,dif sexo
2018-01-08,No declara,No declara,1997-04-04,7584 days,20.8,2018,1997.0,1,desconocido
2018-01-08,No declara,No declara,1992-03-19,9426 days,25.8,2018,1992.0,1,desconocido
2018-01-08,Masculino,No declara,1992-09-23,9238 days,25.3,2018,1992.0,1,desconocido
2018-01-08,Masculino,Femenino,1992-04-30,9384 days,25.7,2018,1992.0,1,dif sexo
2018-01-08,Masculino,No declara,2010-12-20,2576 days,7.1,2018,2010.0,1,desconocido
2018-01-08,Masculino,Femenino,1976-10-22,15053 days,41.2,2018,1976.0,1,dif sexo
2018-01-08,Masculino,Femenino,2003-07-25,5281 days,14.5,2018,2003.0,1,dif sexo
2018-01-08,Masculino,Femenino,2002-09-06,5603 days,15.3,2018,2002.0,1,dif sexo
2018-01-09,Masculino,Femenino,2007-04-16,3921 days,10.7,2018,2007.0,1,dif sexo
2018-01-09,Masculino,Femenino,1995-12-06,8070 days,22.1,2018,1995.0,1,dif sexo
2018-01-09,Masculino,Femenino,1990-04-20,10126 days,27.7,2018,1990.0,1,dif sexo
2018-01-09,Masculino,Femenino,2007-07-02,3844 days,10.5,2018,2007.0,1,dif sexo
2018-01-09,Masculino,Femenino,2011-12-22,2210 days,6.1,2018,2011.0,1,dif sexo
2018-01-09,Masculino,Femenino,2000-03-03,6521 days,17.9,2018,2000.0,1,dif sexo
2018-01-09,No declara,No declara,1991-03-07,9805 days,26.8,2018,1991.0,1,desconocido
2018-01-09,No declara,No declara,1997-09-12,7424 days,20.3,2018,1997.0,1,desconocido
2018-01-09,Masculino,Femenino,1993-03-11,9070 days,24.8,2018,1993.0,1,dif sexo
2018-01-09,Masculino,Femenino,2000-12-20,6229 days,17.1,2018,2000.0,1,dif sexo
2018-01-09,Masculino,Femenino,1969-01-24,17882 days,49.0,2018,1969.0,1,dif sexo
2018-01-09,Masculino,Femenino,1980-05-22,13746 days,37.6,2018,1980.0,1,dif sexo
2018-01-10,Masculino,Femenino,2009-03-31,3207 days,8.8,2018,2009.0,1,dif sexo
2018-01-10,Masculino,Femenino,2008-05-15,3527 days,9.7,2018,2008.0,1,dif sexo
2018-01-10,Masculino,Femenino,2013-02-27,1778 days,4.9,2018,2013.0,1,dif sexo
2018-01-10,Masculino,Femenino,2004-11-25,4794 days,13.1,2018,2004.0,1,dif sexo
2018-01-10,Masculino,Femenino,2010-12-16,2582 days,7.1,2018,2010.0,1,dif sexo
2018-01-10,Masculino,Femenino,2012-05-15,2066 days,5.7,2018,2012.0,1,dif sexo
2018-01-10,Masculino,Femenino,2010-05-13,2799 days,7.7,2018,2010.0,1,dif sexo
2018-01-10,Masculino,Femenino,2012-04-09,2102 days,5.8,2018,2012.0,1,dif sexo
2018-01-10,Masculino,Femenino,2009-03-27,3211 days,8.8,2018,2009.0,1,dif sexo
2018-01-10,No declara,No declara,1990-03-22,10156 days,27.8,2018,1990.0,1,desconocido
2018-01-10,Masculino,Femenino,1980-04-16,13783 days,37.7,2018,1980.0,1,dif sexo
2018-01-10,Masculino,,1968-05-24,18128 days,49.6,2018,1968.0,1,desconocido
2018-01-10,Masculino,Femenino,2002-02-21,5802 days,15.9,2018,2002.0,1,dif sexo
2018-01-10,No declara,No declara,1985-06-19,11893 days,32.6,2018,1985.0,1,desconocido
