fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2023-09-04",2015-06-19",M",F"
2023-06-15",2015-06-26",M",F"
2023-08-04",2015-07-03",M",F"
2023-05-23",2015-07-30",M",F"
2023-09-12",2015-08-07",M",F"
2023-08-09",2015-08-18",M",F"
2023-03-31",2015-09-07",M",F"
2023-04-27",2015-09-11",M",F"
2023-08-15",2015-09-11",F",M"
2023-07-19",2015-09-14",M",F"
2023-10-23",2015-09-17",M",F"
2023-03-13",2015-09-17",M",F"
2023-07-07",2015-09-18",M",F"
2023-10-26",2015-09-18",M",F"
2023-06-27",2015-09-18",M",F"
2023-11-28",2015-09-22",M",F"
2023-08-17",2015-09-22",M",F"
2023-02-15",2015-09-22",M",F"
2023-03-13",2015-09-25",M",F"
2023-09-12",2015-09-25",F",M"
2023-04-17",2015-09-25",M",F"
2023-06-15",2015-09-28",M",F"
2023-03-31",2015-10-08",M",F"
2023-07-17",2015-10-02",M",F"
2023-12-28",2015-10-02",F",M"
2023-04-13",2015-10-05",M",F"
2023-03-01",2015-10-06",M",F"
2023-10-23",2015-10-06",M",F"
2023-05-16",2015-10-05",M",F"
2023-07-13",2015-10-05",M",F"
2023-11-01",2015-10-06",M",F"
2023-05-02",2015-10-06",M",F"
2023-01-03",2015-10-07",M",F"
2023-04-25",2015-10-08",M",F"
2023-09-18",2015-10-09",M",F"
2023-07-14",2015-10-09",M",F"
2023-03-14",2015-10-14",M",F"
2023-09-26",2015-10-13",M",F"
2023-10-18",2015-10-15",M",F"
2023-12-12",2015-10-15",M",F"
2023-06-14",2015-10-19",M",F"
2023-08-07",2015-10-22",M",M"
2023-10-02",2015-10-26",M",F"
2023-11-22",2015-10-26",F",M"
2023-09-14",2015-10-30",M",F"
2023-03-10",2010-11-02",M",F"
2023-12-19",2015-11-03",F",M"
2023-08-09",2015-11-05",M",F"
2023-06-27",2015-11-05",M",F"
2023-04-25",2015-11-10",M",F"
2023-07-14",2015-11-10",M",F"
2023-06-23",2015-11-12",M",F"
2023-09-08",2015-11-12",M",F"
2023-04-28",2015-11-13",M",F"
2023-09-28",2015-11-13",M",F"
2023-09-01",2015-11-13",M",F"
2023-05-21",2015-11-13",F",M"
2023-09-26",2015-11-13",M",F"
2023-08-29",2015-11-18",M",F"
2023-06-06",2015-11-17",M",F"
2023-08-04",2015-11-18",M",F"
2023-12-27",2015-11-18",M",F"
2023-11-24",2015-11-19",F",M"
2023-12-19",2015-11-19",M",F"
2023-12-11",2015-11-19",M",F"
2023-05-11",2015-11-19",M",F"
2023-03-06",2015-11-20",M",F"
2023-10-17",2015-11-20",M",F"
2023-11-16",2015-11-20",M",F"
2023-05-11",2015-11-25",M",F"
2023-01-04",2015-11-25",M",F"
2023-12-11",2015-11-25",F",M"
2023-04-24",2015-11-25",M",F"
2023-12-21",2015-11-26",M",F"
2023-07-06",2015-11-27",M",F"
2023-11-29",2015-12-01",M",F"
2023-10-11",2015-12-01",M",F"
2023-03-20",2015-12-02",F",M"
2023-11-08",2015-12-04",M",F"
2023-02-17",2015-12-04",M",F"
2023-06-01",2015-12-04",M",F"
2023-06-09",2015-12-09",M",F"
2023-11-01",2015-12-10",M",F"
2023-07-17",2015-12-11",M",F"
2023-05-14",2015-12-11",F",M"
2023-03-20",2015-12-17",M",F"
2023-10-23",2015-12-18",F",M"
2023-08-09",2015-12-17",M",F"
2023-03-14",2015-12-18",M",F"
2023-11-01",2015-12-28",M",F"
2023-09-29",2015-12-22",M",F"
2023-06-23",2015-12-28",M",M"
2023-08-17",2016-01-05",M",F"
2023-09-13",2016-01-06",F",M"
2023-06-07",2016-01-07",M",F"
2023-07-05",2016-01-15",M",F"
2023-07-06",2016-01-13",M",F"
2023-06-06",2016-01-12",M",F"
2023-10-24",2016-01-18",F",F"
2023-12-19",2016-01-15",M",M"
2023-10-06",2016-01-21",M",F"
2023-10-26",2016-01-20",M",F"
2023-08-04",2013-09-03",M",F"
2023-02-17",2013-09-13",M",F"
2023-03-31",2013-09-16",M",F"
2023-04-27",2013-09-20",M",F"
2023-12-21",2013-08-26",M",F"
2023-12-17",2013-08-30",M",F"
2023-08-16",2013-08-30",M",F"
2023-03-02",2014-01-09",M",F"
2023-08-09",2013-05-28",M",F"
2023-04-25",2013-08-02",F",M"
2023-08-18",2013-08-02",F",M"
2023-07-10",2013-08-02",M",F"
2023-08-10",2013-09-23",M",F"
2023-08-04",2013-09-02",M",F"
2023-05-12",2013-09-06",M",F"
2023-09-26",2013-09-09",F",M"
2023-08-22",2013-09-27",M",F"
2023-08-03",2013-10-03",M",F"
2023-09-06",2013-10-03",M",F"
2023-08-01",2013-10-02",M",F"
2023-05-09",2013-10-02",M",F"
2023-05-10",2013-08-15",M",F"
2023-12-16",2013-09-20",F",F"
2023-07-10",2013-08-14",F",F"
2023-08-15",2013-08-20",M",F"
2023-04-26",2013-08-16",M",F"
2023-09-22",2013-09-27",M",F"
2023-03-23",2013-09-27",M",F"
2023-09-13",2013-08-09",F",M"
2023-04-05",2013-08-15",M",F"
2023-08-25",2013-09-18",M",F"
2023-08-25",2013-10-17",M",F"
2023-07-12",2013-10-21",M",F"
2023-11-06",2013-10-22",M",F"
2023-06-30",2013-10-25",M",F"
2023-06-30",2013-10-24",M",F"
2023-06-27",2013-10-04",M",F"
2023-07-12",2013-06-27",M",F"
2023-03-23",2013-10-11",M",F"
2023-09-15",2013-10-11",M",F"
2023-04-03",2013-10-16",M",F"
2023-11-12",2013-11-01",M",F"
2023-09-12",2013-11-07",M",F"
2023-08-09",2013-11-11",M",F"
2023-12-19",2013-10-30",M",F"
2023-08-28",2013-11-01",M",F"
2023-02-23",2013-11-01",M",F"
2023-05-12",2013-11-15",M",F"
2023-01-11",2013-11-06",M",F"
2023-03-20",2013-11-08",F",F"
2023-06-01",2013-10-31",M",F"
2023-02-09",2013-10-07",M",F"
2023-03-09",2013-11-15",M",F"
2023-12-12",2013-11-22",M",F"
2023-12-08",2013-12-20",M",F"
2023-11-15",2013-12-20",M",M"
2023-08-18",2013-12-19",M",F"
2023-10-30",2013-12-20",M",F"
2023-10-10",2013-12-20",M",F"
2023-10-24",2013-12-20",M",F"
2023-07-19",2013-11-11",M",F"
2023-11-17",2013-11-15",M",F"
2023-12-05",2013-11-13",M",F"
2023-08-14",2013-11-15",M",F"
2023-03-01",2013-11-27",M",F"
2023-09-13",2013-11-20",M",F"
2023-03-31",2013-11-20",M",F"
2023-02-06",2013-11-15",F",M"
2023-10-04",2013-11-29",M",F"
2023-09-29",2013-11-22",M",F"
2023-08-06",2013-11-27",M",F"
2023-05-18",2013-12-05",F",M"
2023-01-11",2013-11-29",M",F"
2023-05-17",2013-11-22",M",F"
2023-10-23",2013-11-28",M",F"
2023-08-15",2013-11-22",M",F"
2023-05-15",2013-10-29",M",F"
2023-11-03",2013-11-26",M",F"
2023-11-14",2013-11-26",M",F"
2023-05-10",2013-11-15",M",F"
2023-10-30",2013-12-12",M",F"
2023-04-10",2013-12-17",M",F"
2023-04-09",2014-02-06",M",F"
2023-12-26",2014-02-07",M",F"
2023-05-14",2013-12-16",M",F"
2023-08-29",2013-12-26",M",F"
2023-12-01",2013-12-27",F",M"
2023-05-12",2013-12-06",M",F"
2023-08-17",2013-12-06",M",F"
2023-07-12",2013-12-05",F",M"
2023-12-20",2013-12-20",M",F"
2023-11-04",2014-01-08",M",F"
2023-06-30",2014-01-17",M",F"
2023-03-15",2013-12-26",M",F"
2023-04-24",2013-11-27",M",F"
2023-02-22",2013-12-05",M",F"
2023-06-12",2013-12-06",DESCONOCIDO",F"
2023-09-07",2013-12-16",M",F"
2023-08-30",2014-01-06",M",F"
2023-05-14",2014-02-26",M",F"
2023-03-27",2014-02-28",M",F"
2023-03-06",2014-02-28",M",F"
2023-05-09",2014-02-14",M",F"
2023-12-06",2014-02-07",M",F"
2023-12-19",2014-02-14",M",F"
2023-07-13",2014-01-23",M",F"
2023-07-07",2014-01-24",M",F"
2023-11-28",2014-02-21",M",F"
2023-12-01",2014-02-14",M",F"
2023-04-21",2014-02-12",M",F"
2023-09-07",2014-02-19",M",F"
2023-10-24",2014-02-24",M",F"
2023-03-07",2014-03-28",M",F"
2023-02-22",2014-03-31",M",F"
2023-11-13",2013-03-22",M",F"
2023-02-16",2013-07-15",M",F"
2023-12-13",2013-07-08",M",F"
2023-12-01",2013-03-21",M",F"
2023-09-07",2013-03-21",M",F"
2023-08-30",2014-02-14",M",F"
2023-11-13",2014-02-18",M",F"
2023-07-06",2014-02-18",M",F"
2023-12-11",2014-02-21",M",F"
2023-12-11",2014-02-21",M",F"
2023-08-30",2014-02-21",M",F"
2023-04-04",2013-02-22",M",F"
2023-05-29",2013-02-14",M",F"
2023-07-14",2013-04-12",M",F"
2023-03-03",2013-02-22",M",F"
2023-10-20",2013-01-11",M",F"
2023-02-27",2013-04-05",M",F"
2023-03-20",2013-04-08",M",F"
2023-02-27",2013-04-04",M",F"
2023-06-15",2013-04-04",F",M"
2023-10-29",2013-04-05",M",F"
2023-10-20",2013-04-08",M",F"
2023-03-28",2013-06-14",F",M"
2023-05-30",2013-07-15",M",F"
2023-12-06",2013-02-14",M",F"
2023-10-27",2013-04-11",M",F"
2023-06-02",2013-04-23",M",F"
2023-11-28",2013-04-19",M",F"
2023-04-03",2013-05-24",M",F"
2023-09-27",2013-04-12",M",F"
2023-04-03",2013-03-22",M",F"
2023-12-11",2013-06-27",M",F"
2023-05-02",2013-02-21",M",F"
2023-03-10",2013-02-22",M",F"
2023-05-14",2013-02-28",M",F"
2023-02-15",2013-03-07",M",F"
2023-04-03",2013-06-17",M",F"
2023-09-28",2013-03-08",M",F"
2023-06-12",2013-01-02",M",F"
2023-02-15",2013-01-23",M",F"
2023-10-07",2013-01-25",M",F"
2023-02-15",2013-02-05",M",F"
2023-04-24",2013-01-04",M",F"
2023-10-25",2013-01-03",M",F"
2023-08-10",2013-01-18",M",F"
2023-06-23",2013-01-18",M",F"
2023-05-30",2013-01-18",M",F"
2023-03-03",2013-04-25",M",F"
2023-10-04",2013-04-04",M",F"
