fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2021-12-21",2015-06-08",M",F"
2021-02-17",2015-06-18",M",F"
2021-12-06",2015-06-26",M",F"
2021-06-11",2015-07-23",M",F"
2021-10-19",2015-07-29",M",F"
2021-08-24",2015-08-05",M",F"
2021-07-02",2015-08-28",M",M"
2021-09-22",2015-09-03",M",F"
2021-04-21",2015-09-03",M",F"
2021-02-18",2015-09-04",M",F"
2021-09-22",2015-09-04",F",M"
2021-05-14",2015-09-04",M",F"
2021-12-27",2015-09-10",M",F"
2021-08-12",2015-09-10",F",M"
2021-05-19",2015-09-11",M",F"
2021-04-15",2015-09-11",M",F"
2021-10-19",2015-09-14",M",F"
2021-03-10",2015-09-16",M",F"
2021-03-10",2015-09-17",M",F"
2021-12-24",2015-09-21",M",F"
2021-11-25",2015-09-21",M",F"
2021-10-01",2015-09-23",M",F"
2021-05-19",2015-09-22",M",F"
2021-10-22",2015-09-24",M",F"
2021-02-08",2015-10-01",M",F"
2021-12-25",2015-10-02",M",F"
2021-06-22",2015-10-01",M",F"
2021-06-07",2015-10-06",M",F"
2021-11-12",2015-10-09",M",F"
2021-09-29",2015-10-09",M",F"
2021-03-10",2015-10-15",M",F"
2021-07-05",2015-10-16",M",F"
2021-09-14",2015-10-16",M",F"
2021-09-21",2015-10-16",M",F"
2021-03-29",2015-10-21",M",F"
2021-04-15",2015-10-27",M",F"
2021-06-18",2015-10-28",M",M"
2021-07-21",2015-10-28",M",F"
2021-04-30",2015-10-29",M",F"
2021-11-12",2015-10-28",M",F"
2021-06-24",2015-10-30",M",F"
2021-03-26",2015-11-02",M",F"
2021-04-15",2015-10-30",M",F"
2021-07-16",2015-11-04",M",F"
2021-03-12",2015-11-05",M",F"
2021-05-19",2015-11-05",M",F"
2021-12-29",2015-11-06",M",F"
2021-10-26",2015-11-06",M",F"
2021-03-12",2015-11-06",M",F"
2021-05-19",2015-04-13",M",F"
2021-03-18",2015-11-11",M",F"
2021-11-04",2015-11-10",M",F"
2021-10-20",2015-11-11",M",F"
2021-06-04",2015-11-13",M",F"
2021-07-15",2015-11-12",M",F"
2021-07-21",2015-11-12",M",F"
2021-08-23",2015-11-16",M",F"
2021-07-27",2015-11-16",M",F"
2021-02-25",2015-11-16",F",M"
2021-05-20",2015-11-17",M",F"
2021-07-23",2015-11-19",M",F"
2021-12-12",2015-11-19",M",F"
2021-10-01",2015-11-20",F",M"
2021-11-12",2015-11-19",M",F"
2021-12-23",2015-11-24",M",F"
2021-11-12",2015-11-24",M",F"
2021-05-10",2015-11-25",M",M"
2021-03-08",2015-11-26",M",F"
2021-03-25",2015-12-01",M",F"
2021-11-01",2015-12-02",M",F"
2021-10-25",2015-12-02",F",F"
2021-04-30",2015-12-04",F",M"
2021-12-20",2015-12-04",M",F"
2021-09-23",2015-12-04",M",F"
2021-02-03",2015-12-10",M",F"
2021-07-27",2015-12-11",M",F"
2021-09-21",2015-12-11",M",F"
2021-12-28",2015-12-11",M",M"
2021-04-13",2015-12-11",F",M"
2021-03-12",2015-12-15",M",F"
2021-10-27",2015-12-16",F",M"
2021-11-26",2015-12-17",M",F"
2021-05-20",2015-12-17",M",F"
2021-02-08",2015-12-18",F",M"
2021-09-11",2015-12-21",M",F"
2021-11-29",2015-12-23",M",F"
2021-04-19",2015-12-28",M",F"
2021-02-17",2015-12-29",M",F"
2021-07-23",2015-12-29",F",M"
2021-09-27",2016-01-04",M",F"
2021-12-28",2016-01-06",M",F"
2021-12-30",2016-01-05",F",M"
2021-05-31",2016-01-08",M",F"
2021-11-17",2016-01-07",M",F"
2021-05-10",2016-01-08",F",M"
2021-02-19",2016-01-13",F",M"
2021-09-20",2016-01-14",M",F"
2021-12-08",2016-01-20",F",F"
2021-11-16",2016-01-21",M",F"
2021-12-07",2013-07-11",M",F"
2021-10-21",2013-07-22",M",F"
2021-11-02",2013-05-14",F",M"
2021-10-13",2013-06-03",F",M"
2021-07-29",2013-08-27",M",F"
2021-05-20",2013-09-11",M",F"
2021-07-23",2013-09-06",M",DESCONOCIDO"
2021-02-12",2013-07-31",M",F"
2021-04-20",2013-07-30",F",F"
2021-12-10",2013-07-30",F",M"
2021-06-08",2013-08-05",M",F"
2021-11-23",2013-08-02",M",F"
2021-09-02",2013-09-20",M",F"
2021-02-23",2013-09-05",M",F"
2021-07-30",2013-09-06",M",F"
2021-04-14",2013-09-02",M",M"
2021-12-21",2013-09-12",DESCONOCIDO",F"
2021-12-28",2013-09-27",M",F"
2021-09-28",2013-09-24",M",F"
2021-03-26",2013-09-26",M",F"
2021-05-14",2013-08-15",M",F"
2021-06-03",2013-08-16",M",F"
2021-10-05",2013-08-16",M",F"
2021-10-29",2013-09-20",M",F"
2021-03-15",2013-08-08",M",F"
2021-03-18",2013-08-08",M",F"
2021-12-11",2013-10-18",M",F"
2021-11-15",2013-10-10",M",F"
2021-08-11",2013-10-18",F",M"
2021-10-18",2013-10-22",M",F"
2021-09-28",2013-10-25",M",F"
2021-10-20",2013-10-25",M",F"
2021-12-20",2013-10-25",M",F"
2021-10-20",2013-10-04",M",F"
2021-03-26",2013-07-26",M",F"
2021-05-21",2013-08-02",M",F"
2021-09-08",2013-08-22",M",F"
2021-10-17",2013-10-04",M",F"
2021-11-25",2013-09-27",M",F"
2021-10-05",2013-09-30",M",F"
2021-10-21",2013-10-11",M",F"
2021-04-27",2013-10-17",M",F"
2021-12-17",2013-10-25",M",F"
2021-12-01",2013-10-30",M",F"
2021-05-04",2013-10-31",M",F"
2021-06-13",2013-10-29",M",F"
2021-08-06",2013-11-07",M",F"
2021-08-25",2013-11-11",M",F"
2021-11-07",2013-11-12",M",F"
2021-08-31",2013-11-07",M",F"
2021-11-25",2013-11-01",M",F"
2021-07-15",2013-11-01",M",F"
2021-07-20",2013-11-06",M",F"
2021-03-17",2013-11-06",M",F"
2021-06-01",2013-11-28",M",F"
2021-08-04",2013-11-08",M",F"
2021-05-21",2013-11-08",M",F"
2021-10-26",2013-10-02",M",F"
2021-09-02",2013-11-20",M",F"
2021-11-19",2013-11-20",M",F"
2021-05-05",2013-12-20",M",F"
2021-04-15",2013-12-20",M",F"
2021-02-08",2013-12-20",M",F"
2021-01-05",2013-12-20",M",F"
2021-03-10",2013-11-15",M",F"
2021-06-04",2013-11-15",M",F"
2021-02-25",2013-11-19",M",F"
2021-09-09",2013-11-20",M",F"
2021-09-22",2013-11-22",M",F"
2021-07-27",2013-11-22",M",F"
2021-06-02",2013-11-29",M",F"
2021-10-14",2013-11-29",M",F"
2021-10-29",2013-11-28",M",F"
2021-09-13",2013-10-17",F",F"
2021-06-01",2013-11-29",M",F"
2021-07-20",2013-12-12",F",M"
2021-07-29",2013-12-19",F",M"
2021-06-15",2014-01-31",M",F"
2021-11-01",2014-02-05",M",F"
2021-09-13",2013-12-11",M",F"
2021-01-21",2013-12-13",M",F"
2021-11-29",2013-12-26",M",F"
2021-10-29",2013-11-29",M",F"
2021-02-17",2013-12-06",M",F"
2021-10-04",2013-12-06",M",F"
2021-10-20",2013-12-04",M",F"
2021-12-14",2013-12-05",M",F"
2021-05-14",2013-12-06",M",F"
2021-08-12",2013-12-09",M",F"
2021-05-12",2013-12-09",M",F"
2021-02-10",2013-12-12",M",F"
2021-09-28",2013-12-13",M",F"
2021-09-23",2013-12-11",M",F"
2021-04-13",2013-12-13",M",F"
2021-10-01",2013-12-13",M",F"
2021-06-30",2014-01-07",M",DESCONOCIDO"
2021-08-13",2014-01-20",M",F"
2021-10-05",2014-01-08",M",F"
2021-12-08",2014-01-10",M",F"
2021-02-26",2014-01-13",M",F"
2021-12-02",2014-01-03",M",F"
2021-03-26",2014-01-17",M",F"
2021-10-16",2013-12-06",M",M"
2021-12-20",2013-12-17",M",F"
2021-10-26",2014-01-09",M",F"
2021-12-29",2014-02-25",M",F"
2021-09-02",2014-02-26",M",F"
2021-12-18",2014-02-28",M",F"
2021-11-04",2014-03-06",M",F"
2021-08-12",2014-03-05",M",F"
2021-12-07",2014-02-12",M",F"
2021-10-26",2014-02-14",M",F"
2021-06-22",2014-02-07",M",F"
2021-05-27",2014-02-14",M",F"
2021-03-19",2014-02-17",M",F"
2021-11-04",2014-01-17",M",F"
2021-03-05",2014-01-20",F",F"
