fecha_divorcio,fecha_matrimonio,sexo_1,sexo_2
2020-11-21",2014-10-10",M",F"
2020-02-20",2014-11-21",F",M"
2020-03-04",1998-12-11",M",F"
2020-11-13",2014-10-10",M",F"
2020-02-14",2014-10-15",M",F"
2020-12-04",1998-02-13",M",F"
2020-09-14",2014-09-03",M",F"
2020-09-17",2014-12-03",M",F"
2020-01-09",2005-05-31",M",F"
2020-12-02",2005-12-16",M",F"
2020-01-06",2014-12-05",F",M"
2020-11-20",1999-07-23",M",F"
2020-11-30",2014-12-18",M",F"
2020-01-27",1998-12-21",M",F"
2020-10-23",2014-11-18",M",F"
2020-12-23",2014-10-31",M",F"
2020-09-17",2005-06-10",M",F"
2020-09-01",2014-10-24",M",F"
2020-12-09",2014-09-05",M",F"
2020-09-23",2014-11-04",M",F"
2020-12-15",2014-12-05",F",M"
2020-11-11",1998-03-05",M",F"
2020-11-30",2005-05-19",M",F"
2020-02-17",2014-10-10",M",F"
2020-10-23",2014-12-22",F",M"
2020-08-12",1998-05-21",M",F"
2020-02-17",2014-10-10",M",F"
2020-03-09",2014-12-12",M",F"
2020-08-14",2014-11-05",M",F"
2020-03-05",2014-09-19",M",F"
2020-11-20",2014-09-25",M",F"
2020-02-19",2014-09-05",F",F"
2020-02-10",2014-09-12",M",F"
2020-01-31",2014-10-07",M",F"
2020-08-06",1998-11-26",M",F"
2020-10-21",1998-01-23",M",F"
2020-11-17",2014-09-15",F",M"
2020-11-29",2014-07-23",M",F"
2020-12-28",2014-08-21",M",F"
2020-03-13",2014-04-28",M",F"
2020-10-06",2014-04-28",M",F"
2020-03-10",2014-07-02",F",M"
2020-12-09",2014-07-10",F",M"
2020-10-14",2014-09-23",F",M"
2020-12-04",2014-07-16",M",F"
2020-02-13",2014-09-18",M",F"
2020-02-13",2014-09-16",M",F"
2020-02-26",2014-09-30",F",M"
2020-03-09",2014-04-10",M",F"
2020-12-17",2014-04-30",M",F"
2020-11-25",2014-07-24",M",F"
2020-11-16",2014-09-23",M",F"
2020-03-12",2014-09-25",M",M"
2020-09-03",2014-03-26",M",F"
2020-09-04",2014-03-26",M",F"
2020-12-03",2014-11-06",M",F"
2020-12-09",2014-03-26",M",F"
2020-10-26",2014-03-27",F",M"
2020-09-03",2014-03-20",M",F"
2020-12-18",2014-03-14",M",F"
2020-08-12",2014-08-04",M",F"
2020-01-02",2014-05-06",M",F"
2020-10-05",2014-05-28",M",F"
2020-08-02",2014-05-16",M",F"
2020-12-23",2014-05-14",M",F"
2020-09-27",2014-05-30",M",F"
2020-07-31",2014-08-06",F",M"
2020-09-22",2014-08-01",M",F"
2020-11-19",2013-05-10",M",F"
2020-08-10",2014-04-04",M",F"
2020-10-27",2014-04-04",M",F"
2020-12-16",2014-04-04",M",F"
2020-11-12",2014-05-21",M",F"
2020-10-14",2014-05-16",M",F"
2020-11-21",2013-05-09",F",M"
2020-12-22",2014-04-04",M",F"
2020-09-21",2014-03-28",M",F"
2020-11-16",2014-05-23",M",F"
2020-02-26",2014-06-02",M",F"
2020-08-21",2014-03-21",M",F"
2020-03-12",2014-02-20",M",F"
2020-02-20",2014-04-03",M",F"
2020-01-07",2014-04-04",M",M"
2020-03-19",2014-04-04",M",F"
2020-12-04",2014-04-03",M",F"
2020-12-18",2013-05-30",M",F"
2020-12-30",2013-05-30",M",F"
2020-02-14",2014-03-13",M",F"
2020-02-06",2014-08-20",M",F"
2020-09-28",2013-05-31",M",F"
2020-11-09",2014-03-06",M",M"
2020-12-02",2014-09-05",M",F"
2020-09-14",2014-06-13",M",F"
2020-02-28",2014-04-14",DESCONOCIDO",F"
2020-09-28",1987-07-30",NO DECLARA",F"
2020-09-14",1987-09-22",NO DECLARA",NO DECLARA"
2020-03-09",1987-12-23",NO DECLARA",NO DECLARA"
2020-07-25",1987-09-23",DESCONOCIDO",NO DECLARA"
2020-12-15",1987-11-26",NO DECLARA",NO DECLARA"
2020-02-10",1988-01-08",NO DECLARA",NO DECLARA"
2020-02-10",1988-01-08",NO DECLARA",NO DECLARA"
2020-03-05",1988-02-12",M",F"
2020-09-18",1987-11-13",M",F"
2020-01-10",1988-03-18",NO DECLARA",NO DECLARA"
2020-01-22",1987-11-20",M",NO DECLARA"
2020-12-22",1988-07-22",NO DECLARA",NO DECLARA"
2020-12-21",1988-09-02",M",F"
2020-11-13",1987-10-30",NO DECLARA",NO DECLARA"
2020-12-10",1988-11-10",NO DECLARA",NO DECLARA"
2020-08-20",1987-01-23",NO DECLARA",NO DECLARA"
2020-10-30",1987-01-08",NO DECLARA",NO DECLARA"
2020-02-13",1986-10-30",NO DECLARA",NO DECLARA"
2020-12-17",1985-12-20",M",F"
2020-12-23",1985-12-27",NO DECLARA",NO DECLARA"
2020-12-04",1986-12-04",NO DECLARA",NO DECLARA"
2020-10-27",1986-07-18",NO DECLARA",NO DECLARA"
2020-11-09",1986-12-05",M",NO DECLARA"
2020-01-08",1986-12-12",NO DECLARA",NO DECLARA"
2020-09-14",1986-11-13",NO DECLARA",NO DECLARA"
2020-01-06",2001-05-04",M",F"
2020-12-03",1985-01-28",NO DECLARA",NO DECLARA"
